epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26161.5,0.72131,0.4538,1.00789,0.86683,0.82504,0.87813,0.67938,0.85453,0.53319,1.09071,0.000660045,0.000660045,0.000660045
43,26782.5,0.72431,0.46024,1.00831,0.91218,0.82112,0.89218,0.69226,0.85324,0.53921,1.08952,0.000649046,0.000649046,0.000649046
44,27400.8,0.71636,0.45518,1.00352,0.87175,0.85544,0.88432,0.6834,0.85914,0.53551,1.09143,0.000638047,0.000638047,0.000638047
45,28020.6,0.71943,0.44681,0.99703,0.86623,0.82548,0.87126,0.6813,0.84411,0.5463,1.08639,0.000627048,0.000627048,0.000627048
46,28641.8,0.71399,0.44896,1.00688,0.85353,0.86025,0.88943,0.69203,0.85738,0.53259,1.09129,0.000616049,0.000616049,0.000616049
47,29260.1,0.70994,0.44812,0.99618,0.93083,0.83517,0.90135,0.69393,0.84121,0.51567,1.08383,0.000605051,0.000605051,0.000605051
48,29879.7,0.70827,0.44202,1.00309,0.90456,0.84744,0.9103,0.70578,0.82932,0.51082,1.07985,0.000594052,0.000594052,0.000594052
49,30500.4,0.70744,0.44183,0.9963,0.88976,0.81616,0.88929,0.70357,0.83621,0.54144,1.08191,0.000583053,0.000583053,0.000583053
50,31122.9,0.70445,0.443,0.9947,0.91534,0.85179,0.91377,0.71596,0.83553,0.51742,1.08348,0.000572054,0.000572054,0.000572054
51,31742.7,0.70787,0.44302,1.00291,0.89487,0.8378,0.89474,0.7049,0.82262,0.52015,1.06944,0.000561055,0.000561055,0.000561055
52,32363.2,0.70428,0.43451,0.99608,0.85235,0.8686,0.89428,0.69961,0.83716,0.51323,1.08136,0.000550056,0.000550056,0.000550056
53,32979.8,0.69325,0.4295,0.99765,0.90645,0.86557,0.91739,0.71544,0.81984,0.49459,1.06724,0.000539057,0.000539057,0.000539057
54,33599.5,0.68597,0.41849,0.98639,0.88484,0.85422,0.90353,0.71451,0.81966,0.49843,1.06805,0.000528058,0.000528058,0.000528058
55,34220.1,0.68715,0.42405,0.99055,0.8548,0.87863,0.8975,0.70415,0.79401,0.49103,1.05424,0.000517059,0.000517059,0.000517059
56,34838.1,0.68077,0.41138,0.98618,0.88656,0.8909,0.92158,0.7252,0.81831,0.48931,1.06889,0.00050606,0.00050606,0.00050606
57,35425.5,0.67879,0.4166,0.98483,0.92754,0.83728,0.90717,0.71531,0.79757,0.47856,1.05642,0.000495062,0.000495062,0.000495062
58,36013.2,0.68413,0.42194,0.98334,0.89724,0.89422,0.92447,0.73139,0.7995,0.47844,1.05633,0.000484063,0.000484063,0.000484063
59,36595.6,0.67465,0.41283,0.98139,0.90932,0.87542,0.92836,0.72792,0.81263,0.47857,1.05675,0.000473064,0.000473064,0.000473064
60,37181.6,0.67917,0.41127,0.98505,0.89298,0.86942,0.91362,0.71867,0.81932,0.4883,1.06819,0.000462065,0.000462065,0.000462065
61,37764.9,0.67741,0.40856,0.98163,0.92962,0.83753,0.92398,0.72766,0.80053,0.46898,1.04779,0.000451066,0.000451066,0.000451066
62,38352,0.66658,0.40489,0.97822,0.87309,0.88252,0.91963,0.73034,0.78237,0.45935,1.03949,0.000440067,0.000440067,0.000440067
63,38966.5,0.66012,0.39634,0.97645,0.89894,0.89195,0.92706,0.72912,0.79261,0.46064,1.04888,0.000429068,0.000429068,0.000429068
64,39589.1,0.66561,0.39431,0.97433,0.92022,0.83419,0.91301,0.72714,0.78906,0.47975,1.04522,0.000418069,0.000418069,0.000418069
65,40212.2,0.65579,0.39189,0.96958,0.92984,0.8619,0.92334,0.72643,0.80483,0.4708,1.05767,0.00040707,0.00040707,0.00040707
66,40833.9,0.64782,0.38931,0.96958,0.88271,0.87664,0.90454,0.71889,0.79311,0.47976,1.04975,0.000396071,0.000396071,0.000396071
67,41455.2,0.6506,0.39478,0.97136,0.87243,0.86762,0.90557,0.71416,0.79724,0.46547,1.05264,0.000385073,0.000385073,0.000385073
68,42076.2,0.64804,0.38662,0.97197,0.89748,0.88878,0.92576,0.74327,0.76804,0.44693,1.03587,0.000374074,0.000374074,0.000374074
69,42697.2,0.64864,0.38693,0.96511,0.91189,0.86972,0.9194,0.73767,0.7774,0.45235,1.03572,0.000363075,0.000363075,0.000363075
70,43314.9,0.65129,0.38442,0.96845,0.87974,0.89185,0.92708,0.74138,0.7748,0.44509,1.03789,0.000352076,0.000352076,0.000352076
71,43937,0.64928,0.38593,0.97012,0.8663,0.87515,0.90504,0.72825,0.77397,0.46855,1.04485,0.000341077,0.000341077,0.000341077
72,44557.4,0.63638,0.37701,0.96696,0.93028,0.85653,0.91864,0.73976,0.77314,0.45324,1.03451,0.000330078,0.000330078,0.000330078
