epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,745.076,1.13877,1.9799,1.28911,0.70122,0.60758,0.71228,0.48669,1.18359,2.06151,1.3353,0.000366554,0.000366554,0.000366554
2,1455.86,1.03365,1.10993,1.18762,0.67749,0.62527,0.69418,0.48334,1.18061,1.78354,1.38131,0.000729593,0.000729593,0.000729593
3,1979.62,1.0388,1.04538,1.18977,0.72417,0.69889,0.73219,0.50505,1.19521,1.49515,1.37751,0.0010853,0.0010853,0.0010853
4,2474.8,1.00284,0.96233,1.17272,0.90988,0.61617,0.72684,0.48581,1.28234,1.26671,1.39599,0.001078,0.001078,0.001078
5,3029.49,0.97906,0.88839,1.15037,0.78049,0.68659,0.73883,0.52639,1.14427,1.25232,1.32747,0.001067,0.001067,0.001067
6,3523.46,0.94962,0.84196,1.1401,0.88377,0.66239,0.76442,0.53948,1.08989,1.19691,1.26789,0.00105601,0.00105601,0.00105601
7,4017.95,0.92841,0.79032,1.12899,0.74915,0.72531,0.76603,0.5447,1.11348,1.06249,1.30126,0.00104501,0.00104501,0.00104501
8,4585.35,0.91933,0.74644,1.11302,0.83663,0.75647,0.81628,0.58792,1.0533,0.91104,1.25062,0.00103401,0.00103401,0.00103401
