epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,144.354,0.79229,0.87639,1.08441,0.91896,0.3728,0.45252,0.33626,1.68909,2.35018,1.50976,2.82082e-05,2.82082e-05,2.82082e-05
40,147.506,0.65262,0.75494,1.06077,0.91896,0.3728,0.45252,0.33626,1.68909,2.35018,1.50976,2.84911e-05,2.84911e-05,2.84911e-05
41,150.801,0.67069,0.8973,1.01464,0.92242,0.37295,0.4522,0.3364,1.70211,2.37718,1.51468,2.87504e-05,2.87504e-05,2.87504e-05
42,153.836,0.54874,1.54624,1.04096,0.92242,0.37295,0.4522,0.3364,1.70211,2.37718,1.51468,2.89861e-05,2.89861e-05,2.89861e-05
43,157.02,1.04078,1.31765,1.31862,0.94065,0.38894,0.45866,0.33978,1.70766,2.37641,1.52141,2.91983e-05,2.91983e-05,2.91983e-05
44,159.863,0.89695,0.89843,1.32337,0.94065,0.38894,0.45866,0.33978,1.70766,2.37641,1.52141,2.93869e-05,2.93869e-05,2.93869e-05
45,162.923,0.60757,0.76423,1.00099,0.94164,0.38893,0.45102,0.33253,1.72808,2.41349,1.52868,2.9552e-05,2.9552e-05,2.9552e-05
46,165.897,0.71665,0.96784,1.15394,0.94164,0.38893,0.45102,0.33253,1.72808,2.41349,1.52868,2.96935e-05,2.96935e-05,2.96935e-05
47,169.068,0.82945,1.68362,1.25226,0.94206,0.39088,0.44892,0.32382,1.73833,2.4349,1.51879,2.98114e-05,2.98114e-05,2.98114e-05
48,172.161,0.92699,1.46214,1.263,0.94206,0.39088,0.44892,0.32382,1.73833,2.4349,1.51879,2.99058e-05,2.99058e-05,2.99058e-05
49,175.318,0.84197,0.93093,1.30115,0.94146,0.3921,0.4508,0.32481,1.77229,2.41483,1.55675,2.99766e-05,2.99766e-05,2.99766e-05
50,178.375,0.66385,1.07958,1.20484,0.94146,0.3921,0.4508,0.32481,1.77229,2.41483,1.55675,3.00238e-05,3.00238e-05,3.00238e-05
51,182.217,0.78056,0.85023,1.14048,0.94253,0.39197,0.44917,0.32386,1.75745,2.40486,1.53039,3.00475e-05,3.00475e-05,3.00475e-05
52,185.268,0.8056,0.86785,1.22219,0.94253,0.39197,0.44917,0.32386,1.75745,2.40486,1.53039,3.00476e-05,3.00476e-05,3.00476e-05
53,188.897,0.65059,0.71558,1.1972,0.94253,0.39197,0.44917,0.32386,1.75745,2.40486,1.53039,3.00242e-05,3.00242e-05,3.00242e-05
54,192.574,0.7723,0.84474,1.23387,0.94403,0.39256,0.42214,0.29938,1.76159,2.40602,1.52892,2.99772e-05,2.99772e-05,2.99772e-05
